Breaker,Critical,Monitor,,,Pièce,Type,Description
1,,,30,✅,Salle des machines ,Appareil,Inverter / Critical load pannel
2,🔋,,15,✅,Salon,Prise,Sud Ouest (Bureau Stef)
2,🔋,,15,✅,Salon,Éclairage,Encastré
3,🔋,,15,✅,Atelier,Prise,Prise sump pump
3,🔋,,15,✅,Extérieur,Prise,Prise extérieur Est
4A,,,15,✅,Salle de bain rdc,Prise,GFCI lavabo
4A,,,15,✅,Salle de bain rdc,Éclairage,Protège par CFCI
4B,🔋,📈,15,,Cuisine,Appareil,Frigo
5-7,,,15,✅,Cuisine,Prise,Comptoir Nord #2
5-7,,,15,✅,Cuisine,Prise,Comptoir Est #2
9-11,,,15,,Cuisine,Prise,Comptoir Est #1
9-11,,,15,,Cuisine,Prise,Comptoir Nord #1
6-8,,,20,,Salle Familiale,Chauffage,
6-8,,,20,,Chambre Sous-sol,Chauffage,
6-8,,,20,,Salle de bain Sous-sol,Chauffage,
10-12,,,20,,Salle de bain étage,Chauffage,
13A,🔋,,15,✅,Cuisine,Éclairage,Encastré
13A,🔋,,15,✅,Cuisine,Prise,Prise sous fenêtre cours
13A,🔋,,15,✅,Cuisine,Éclairage,Luminaire ilot
13A,🔋,,15,✅,Cuisine,Éclairage,Comptoire
13A,🔋,,15,✅,Extérieur,Éclairage,Toit cours arrière
13A,🔋,,15,✅,Atelier,Éclairage,Lumière atelier
13A,🔋,,15,✅,Extérieur,Éclairage,Sortie arrière
13B,,,15,,Couloir rdc,Éclairage,Encastré
14-16,,,15,✅,Atelier,Chauffage,
15-17,,📈,30,✅,Extérieur,Sous-panneau,Cabanon
18-20,,📈,30,✅,Extérieur,Appareil,Thermopompe maison
19A,,,15,✅,Couloir étage,Éclairage,Encastré
19A,,,15,✅,Chambre des maitres,Éclairage,Encastré/ventilateur
19A,,,15,✅,Couloir étage,Éclairage,Luminaire escalier
19A,,,15,✅,Chambre enfants,Éclairage,Encastré
19A,,,15,✅,Salle de bain étage,Éclairage,Luminaire central (protéger par GFCI)
19A,,,15,✅,Salle de bain étage,Éclairage,Luminaire lavabo (protéger par GFCI)
19A,,,15,✅,Salle de bain étage,Appareil,Fan toilette (protéger par GFCI)
19A,,,15,✅,Salle de bain étage,Prise,GFCI lavabo
19A,,,15,✅,Couloir étage,Éclairage,Luminaire rangement cellier 
19B,,,15,✅,Couloir étage,Appareil,Détecteur de fumé
19B,,,15,✅,Couloir rdc,Appareil,Détecteur de fumé
19B,,,15,✅,Salle Familiale,Appareil,Détecteur de fumé
21-23,,,30,✅,Extérieur,Appareil,Chargeur électrique
22,,,15,,Salle de bain Sous-sol,Prise,GCFI lavabo
22,,,15,,Salle de bain Sous-sol,Éclairage,Lumière douche (protéger par GFCI)
22,,,15,,Salle de bain Sous-sol,Éclairage,Luminaire central
24A,,,15,✅,Bureau,Éclairage,Encastré
24A,,,15,✅,Extérieur,Éclairage,Lumière extérieur avant (petite et grosse)
24A,,,15,✅,Salle à manger,Éclairage,Luminaire
24A,,,15,✅,Entrée,Éclairage,Luminaire
24A,,,15,✅,Entrée,Éclairage,Lumière garde robe
24A,,,15,✅,Entrée,Prise,Prise Est
24B,,,15,,Cuisine,Appareil,Lave-vaiselle
25-27,,📈,80,,Salle des machines ,Appareil,Fournaise 
26A,,,15,,Atelier,Prise,Établie Est #1
26A,,,15,,Atelier,Prise,Établie Est #2
26B,🔋,,15,,Cuisine,Prise,Prise Micro-onde
28A,,,15,,Salle des machines ,Appareil,"Aspirateur central, anode chauffe eau"
28B,,,15,✅,,,Vide
29A,,,15,,Cuisine,Appareil,Hotte cuisine
29B,🔋,,15,✅,Bureau,Prise,Prise Sud
30-32,,📈,40,,Cuisine,Appareil,Four
31A,,📈,15,,Salle de bain Sous-sol,Prise,Prise laveuse
31B,,,15,✅,Couloir rdc,Prise,Prise vielle armoire
33A,🔋,,15,✅,Salle des machines ,Prise,"Sud (électronique, internet, congelo)"
33B,,,15,✅,Extérieur,Prise,Prise extérieur Sud
34A,🔋,,15,✅,Couloir étage,Prise,Prise rangement 2e
34B,🔋,📈,15,✅,Salle des machines ,Prise,Frigo Sous-sol
35-37,,📈,30,✅,Salle de bain Sous-sol,Appareil,Sécheuse
36A,,,15,,Salle Familiale,Éclairage,Lumière escalier
36A,,,15,,Salle Familiale,Éclairage,Lumiere encastré
36A,,,15,,Salle Familiale,Éclairage,Lumière devant salle de bain
36A,,,15,,Chambre Sous-sol,Éclairage,Luminaire
36A,,,15,,Salle Familiale,Éclairage,Lumière rangement nord
36A,,,15,,Salle Familiale,Éclairage,Lumière devant salle de bain
36B,,,15,✅,Salon,Prise,Nord Est
36B,,,15,✅,Salon,Prise,Nord Ouest
36B,,,15,✅,Salon,Prise,Ouest sous fenêtre
36B,,,15,✅,Salle à manger,Prise,Toute (incluant sous escalier)
38,,,15,,Chambre Sous-sol,Éclairage,Garde robe
38,,,15,✅,Salle des machines ,Éclairage,Boudeuse
38,,,15,✅,Salle Familiale,Prise,Prise couloir devant toilette
39-41,,,20,,Salle des machines ,Appareil,Chauffe eau
40,,,15,✅,Salle des machines ,Appareil,"Transformateur sonette, échangeur d'air"
42,🔋,,15,✅,Chambre des maitres,Prise,Toutes les prises
42,🔋,,15,✅,Chambre enfants,Prise,Toutes les prises
42,🔋,,15,✅,Couloir étage,Prise,Les 2 prises
?,#N/A,,#N/A,,Salle Familiale,Éclairage,Garde manger escalier
?,#N/A,,#N/A,,Cuisine,Prise,Prise Sud (fenêtre)
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
